,County,Doctorate M,Professional M,Masters M,Bachelor M,Associate M,Some College M,High School M,Some HS M,Less than HS M,None M
830,15681,0.113%,0.340%,2.377%,14.375%,11.149%,15.507%,46.180%,6.848%,2.151%,0.962%
831,15701,5.292%,2.085%,10.563%,17.395%,6.885%,16.401%,33.422%,5.656%,1.475%,0.823%
832,15710,14.035%,0.000%,12.281%,60.526%,12.281%,0.877%,0.000000%,0.000%,0.000%,0.000%
833,15712,0.000%,27.941%,57.353%,4.412%,4.412%,5.882%,0.000000%,0.000%,0.000%,0.000%
834,15713,30.556%,69.444%,0.000000%,10.914%,16.865%,21.391%,69.565217%,0.000000%,0.000000%,12.561442%
835,15714,1.649%,1.826%,9.128%,9.776%,15.253%,51.119%,8.127%,2.945%,0.177%,13.280212%
836,15716,4.800%,8.800%,23.200%,51.600%,11.600%,0.000%,0.000%,0.000000%,7.229%,0.000%
837,15717,0.478%,0.816%,2.644%,8.579%,10.661%,17.187%,50.295%,7.876%,1.210%,0.253%
838,15723,100.000%,50.000%,100.000%,0.000000%,0.000000%,0.000000%,11.947720%,11.046398%,5.608755%,34.780899%
839,15724,2.787%,5.459%,3.252%,9.756%,58.072%,16.028%,4.297%,0.348%,7.048458%,2.605%
840,15725,0.530%,1.060%,2.827%,9.364%,9.894%,14.664%,51.237%,9.011%,1.060%,0.353%
841,15727,0.000%,6.818%,22.727%,25.000%,34.091%,11.364%,0.000%,33.333333%,0.000%,43.478%
842,15728,0.318%,5.494%,8.280%,8.599%,10.430%,56.688%,7.643%,1.354%,1.194%,12.814070%
843,15729,1.646%,7.202%,8.642%,6.379%,64.609%,7.613%,2.263%,1.646%,10.160428%,5.614%
844,15731,62.100%,0.000%,7.306%,13.242%,17.352%,0.000000%,27.615%,45.652%,0.000%,100.000%
845,15732,0.341%,1.193%,2.726%,5.792%,7.836%,9.199%,60.647%,8.859%,2.555%,0.852%
846,15734,0.000%,0.000%,17.544%,76.316%,6.140%,0.000000%,21.212%,0.000%,0.000%,32.184%
847,15739,1.724%,12.931%,12.069%,18.103%,51.724%,3.448%,0.000%,13.207547%,0.000%,2.247%
848,15741,0.000%,0.000%,0.000%,82.353%,17.647%,0.000000%,0.000%,10.000%,0.000%,0.000%
849,15742,0.270%,1.081%,4.324%,4.324%,7.297%,68.919%,7.838%,5.405%,0.541%,4.724409%
850,15745,6.579%,23.684%,7.895%,53.947%,15.384615%,0.000%,17.647%,15.385%,0.000%,33.333%
851,15746,0.000%,8.889%,33.333%,8.889%,48.889%,0.000000%,0.000%,24.242%,0.000%,0.000%
852,15747,0.850%,0.425%,2.833%,5.666%,4.958%,12.181%,62.323%,4.249%,5.241%,1.275%
853,15748,0.794%,0.418%,5.013%,12.949%,10.067%,13.659%,46.241%,7.143%,3.592%,0.125%
854,15750,23.077%,33.654%,43.269%,0.000%,0.000000%,0.000%,0.000%,0.000%,0.000%,100.000%
855,15752,11.046398%,10.381356%,33.644618%,22.153353%,0.000000%,3.336158%,2.944162%,13.020590%,11.046398%,10.459911%
856,15754,0.000%,0.000%,82.286%,17.714%,0.000%,0.000000%,10.914%,16.865%,21.391%,0.000%
857,15756,9.402%,9.402%,66.667%,11.966%,2.564%,0.000000%,0.000%,0.000%,0.000%,0.000%
858,15757,1.331%,1.165%,3.827%,7.321%,10.316%,60.067%,11.481%,3.328%,1.165%,10.849057%
859,15759,0.932%,0.000%,2.796%,8.388%,10.158%,8.481%,57.596%,5.778%,4.939%,0.932%
860,15761,71.429%,9.524%,19.048%,0.000000%,0.000%,0.000%,0.000%,0.000%,0.000000%,50.000000%
