,county,zipcode
860,Allegheny-County,15239
861,Allegheny-County,15241
862,Allegheny-County,15243
863,Allegheny-County,15260
864,Allegheny-County,15290
865,Allegheny-County,15332
866,Allegheny-County,15642
867,Allegheny-County,15668
868,Allegheny-County,16046
869,Allegheny-County,16055
870,Allegheny-County,16059
871,Sullivan-County,17701
872,Sullivan-County,17731
873,Sullivan-County,17737
874,Sullivan-County,17758
875,Sullivan-County,17768
876,Sullivan-County,17774
877,Sullivan-County,17814
878,Sullivan-County,18614
879,Sullivan-County,18616
880,Sullivan-County,18619
881,Sullivan-County,18626
882,Sullivan-County,18628
883,Sullivan-County,18632
884,Sullivan-County,18833
885,Luzerne-County,17814
886,Luzerne-County,17815
887,Luzerne-County,17878
888,Luzerne-County,18201
889,Luzerne-County,18202
890,Luzerne-County,18216
891,Luzerne-County,18219
892,Luzerne-County,18221
893,Luzerne-County,18222
894,Luzerne-County,18223
895,Luzerne-County,18224
896,Luzerne-County,18225
897,Luzerne-County,18234
898,Luzerne-County,18239
899,Luzerne-County,18241
900,Luzerne-County,18244
901,Luzerne-County,18246
902,Luzerne-County,18249
903,Luzerne-County,18251
904,Luzerne-County,18255
905,Luzerne-County,18256
906,Luzerne-County,18424
907,Luzerne-County,18602
908,Luzerne-County,18603
909,Luzerne-County,18610
910,Luzerne-County,18612
911,Luzerne-County,18615
912,Luzerne-County,18617
913,Luzerne-County,18618
914,Luzerne-County,18621
915,Luzerne-County,18622
916,Luzerne-County,18634
917,Luzerne-County,18635
918,Luzerne-County,18636
919,Luzerne-County,18640
920,Luzerne-County,18641
921,Luzerne-County,18642
922,Luzerne-County,18643
923,Luzerne-County,18644
924,Luzerne-County,18651
925,Luzerne-County,18655
926,Luzerne-County,18656
927,Luzerne-County,18660
928,Luzerne-County,18661
929,Luzerne-County,18701
930,Luzerne-County,18702
931,Luzerne-County,18704
932,Luzerne-County,18705
933,Luzerne-County,18706
934,Luzerne-County,18707
935,Luzerne-County,18708
936,Luzerne-County,18709
937,Jefferson-County,15711
938,Jefferson-County,15715
939,Jefferson-County,15730
940,Jefferson-County,15733
941,Jefferson-County,15744
942,Jefferson-County,15764
943,Jefferson-County,15767
944,Jefferson-County,15770
945,Jefferson-County,15776
946,Jefferson-County,15778
947,Jefferson-County,15780
948,Jefferson-County,15781
949,Jefferson-County,15784
950,Jefferson-County,15823
951,Jefferson-County,15824
952,Jefferson-County,15825
953,Jefferson-County,15828
954,Jefferson-County,15829
955,Jefferson-County,15840
956,Jefferson-County,15847
