,School Number,School,% Advanced,% Proficient,% Basic,% Below Basic,School Name,Assaults on Staff,Assaults on Students,Conduct OSS,county,enrollment
177,7607,ALBERT GALLATIN NORTH MS,11.0,31.65,31.32,26.07,Albert Gallatin North MS,0.0,0.0,0.0,Fayette,424.0
178,7607,ALBERT GALLATIN NORTH MS,11.0,31.65,31.32,26.07,Albert Gallatin North MS,0.0,0.0,41.0,Fayette,524.0
179,7607,ALBERT GALLATIN NORTH MS,11.0,31.65,31.32,26.07,Albert Gallatin North MS,0.0,0.0,38.0,Fayette,412.0
180,7607,ALBERT GALLATIN NORTH MS,11.0,31.65,31.32,26.07,Albert Gallatin North MS,0.0,0.0,56.0,Fayette,417.0
181,7607,ALBERT GALLATIN NORTH MS,11.0,31.65,31.32,26.07,Albert Gallatin North MS,0.0,0.0,79.0,Fayette,496.0
182,7607,ALBERT GALLATIN NORTH MS,11.0,31.65,31.32,26.07,Albert Gallatin North MS,0.0,0.0,68.0,Fayette,417.0
183,7607,ALBERT GALLATIN NORTH MS,11.0,31.65,31.32,26.07,Albert Gallatin North MS,0.0,0.0,98.0,Fayette,466.0
184,7607,ALBERT GALLATIN NORTH MS,11.0,31.65,31.32,26.07,Albert Gallatin North MS,0.0,0.0,57.0,Fayette,502.0
185,7607,ALBERT GALLATIN NORTH MS,11.0,31.65,31.32,26.07,Albert Gallatin North MS,0.0,0.0,87.0,Fayette,485.0
186,7607,ALBERT GALLATIN NORTH MS,11.0,31.65,31.32,26.07,Albert Gallatin North MS,0.0,0.0,86.0,Fayette,461.0
187,7607,ALBERT GALLATIN NORTH MS,11.0,31.65,31.32,26.07,Albert Gallatin North MS,0.0,0.0,106.0,Fayette,484.0
188,7607,ALBERT GALLATIN NORTH MS,11.0,31.65,31.32,26.07,Albert Gallatin North MS,0.0,0.0,28.0,Fayette,407.0
189,7608,ALBERT GALLATIN SOUTH MS,8.39,26.63,38.15,26.87,Albert Gallatin South MS,0.0,0.0,39.0,Fayette,413.0
190,7608,ALBERT GALLATIN SOUTH MS,8.39,26.63,38.15,26.87,Albert Gallatin South MS,0.0,0.0,79.0,Fayette,474.0
191,7608,ALBERT GALLATIN SOUTH MS,8.39,26.63,38.15,26.87,Albert Gallatin South MS,0.0,0.0,18.0,Fayette,415.0
192,7608,ALBERT GALLATIN SOUTH MS,8.39,26.63,38.15,26.87,Albert Gallatin South MS,0.0,0.0,26.0,Fayette,381.0
193,7608,ALBERT GALLATIN SOUTH MS,8.39,26.63,38.15,26.87,Albert Gallatin South MS,0.0,0.0,28.0,Fayette,384.0
194,7608,ALBERT GALLATIN SOUTH MS,8.39,26.63,38.15,26.87,Albert Gallatin South MS,0.0,0.0,31.0,Fayette,406.0
195,7608,ALBERT GALLATIN SOUTH MS,8.39,26.63,38.15,26.87,Albert Gallatin South MS,0.0,0.0,60.0,Fayette,424.0
196,7608,ALBERT GALLATIN SOUTH MS,8.39,26.63,38.15,26.87,Albert Gallatin South MS,0.0,0.0,32.0,Fayette,434.0
197,7608,ALBERT GALLATIN SOUTH MS,8.39,26.63,38.15,26.87,Albert Gallatin South MS,0.0,0.0,15.0,Fayette,395.0
198,7608,ALBERT GALLATIN SOUTH MS,8.39,26.63,38.15,26.87,Albert Gallatin South MS,0.0,0.0,38.0,Fayette,407.0
199,7608,ALBERT GALLATIN SOUTH MS,8.39,26.63,38.15,26.87,Albert Gallatin South MS,0.0,0.0,19.0,Fayette,396.0
200,7608,ALBERT GALLATIN SOUTH MS,8.39,26.63,38.15,26.87,Albert Gallatin South MS,0.0,0.0,45.0,Fayette,390.0
201,1072,ALBERT SCHWEITZER ES,27.36,40.75,21.3,10.64,Schweitzer El Sch,0.0,0.0,0.0,Bucks,365.0
202,1072,ALBERT SCHWEITZER ES,27.36,40.75,21.3,10.64,Schweitzer EL School,0.0,0.0,2.0,Bucks,327.0
