,County,School,% Advanced,% Proficient,% Basic,% Below Basic
398,CENTRE,CORL STREET EL SCH,50.45,30.57,12.51,6.47
399,ALLEGHENY,CORNELL EL SCH,16.94,32.37,25.03,25.56
400,ALLEGHENY,CORNELL HS,7.7,26.43,29.68,36.19
401,LEBANON,CORNWALL EL SCH,41.11,32.78,16.9,9.25
402,BERKS,CORNWALL TERRACE EL SCH,29.63,37.32,24.8,8.2
403,BUCKS,CORNWELLS EL SCH,20.75,40.73,25.27,13.25
404,ERIE,CORRY AREA INTERMEDIATE SCH,17.65,36.28,26.32,19.77
405,ERIE,CORRY AREA MS,9.22,29.15,33.95,27.73
406,POTTER,COUDERSPORT AREA EL,17.65,39.07,30.25,13.02
407,POTTER,COUDERSPORT AREA JSH,10.09,30.22,33.97,25.7
408,TIOGA,COWANESQUE VALLEY JS,10.27,28.27,32.84,28.58
409,ALLEGHENY,CRAFTON EL SCH,29.32,37.16,21.49,12.07
410,PHILADELPHIA,CRAMP WILLIAM SCHOOL,1.26,12.47,25.9,60.42
411,VENANGO,CRANBERRY AREA JSHS,8.0,32.18,32.59,27.23
412,VENANGO,CRANBERRY EL SCH,25.54,38.31,24.12,12.04
413,CUMBERLAND,CRESTVIEW EL SCH,31.29,38.53,22.29,7.84
414,LUZERNE,CRESTWOOD MS,23.76,42.1,21.72,12.44
415,MONTGOMERY,CROOKED BILLET EL SCH,32.3,45.61,16.14,5.95
416,PHILADELPHIA,CROSSAN KENNEDY C SCH,11.1,34.45,30.87,23.57
417,YORK,CROSSROADS MS,14.91,33.59,31.95,19.55
418,BUCKS,CTR STUDENT LEARNING CS - PENN,3.83,23.07,25.64,47.4
419,DELAWARE,CULBERTSON EL SCH,44.13,34.14,14.94,6.71
420,BERKS,CUMRU EL SCH,26.41,44.22,22.69,6.72
421,LYCOMING,CURTIN MS,19.25,29.59,26.23,24.95
422,CLEARFIELD,CURWENSVILLE AREA EL,28.72,40.38,21.62,9.28
423,CLEARFIELD,CURWENSVILLE AREA JSHS,15.86,36.89,31.14,16.15
424,MONTGOMERY,CYNWYD SCH,61.62,29.07,7.61,1.69
425,FAYETTE,D FERD SWANEY EL SCH,18.51,38.25,25.22,18.06
426,PHILADELPHIA,D NEWLIN FELL SCHOOL,14.03,29.61,30.69,25.64
427,LUZERNE,DALLAS EL SCH,39.32,40.45,16.41,3.77
428,LUZERNE,DALLAS MS,24.61,38.64,22.48,14.31
429,YORK,DALLASTOWN AREA INTERMEDIATE S,32.51,35.96,21.31,10.21
430,YORK,DALLASTOWN AREA MS,27.44,36.31,22.16,13.98
431,YORK,DALLASTOWN EL SCH,55.44,37.37,7.24,0.0
432,WAYNE,DAMASCUS AREA SCH,31.26,36.27,25.39,7.04
433,LUZERNE,DANA EL CTR,17.74,38.26,28.48,15.57
434,BERKS,DANIEL BOONE AREA MS,21.89,36.4,27.99,13.73
435,LUZERNE,DANIEL J FLOOD EL SCH,4.83,25.77,35.9,33.5
436,MONTOUR,DANVILLE AREA MS,23.32,34.8,26.51,15.41
437,DELAWARE,DARBY TWP EL SCH,7.21,30.25,31.64,30.9
438,BUTLER,DASSA MCKINNEY EL SCH,25.08,40.2,24.19,10.54
439,ALLEGHENY,DAVID E WILLIAMS MS,30.65,39.56,21.49,8.25
440,ARMSTRONG,DAVID LEECH EL SCH,17.41,43.28,26.1,13.26
441,BUCKS,DAVIS EL SCH,28.24,42.82,19.36,9.54
442,YORK,DAVIS SCH,1.06,12.5,36.88,49.51
443,PHILADELPHIA,DAY ANNA B SCH,1.57,21.64,34.81,41.97
444,ARMSTRONG,DAYTON EL SCH,22.98,51.87,21.73,3.42
445,PHILADELPHIA,DEBURGOS BILINGUAL,0.52,11.29,28.0,60.15
446,PHILADELPHIA,DECATUR STEPHEN SCH,10.89,35.08,30.88,23.21
447,ALLEGHENY,DEER LAKES MS,18.33,37.26,29.91,14.51
448,BEDFORD,DEFIANCE GR SCH,4.62,26.36,39.56,29.47
449,BUCKS,DEIBLER SCHOOL,35.93,46.69,13.63,3.8
450,MERCER,DELAHUNTY MS,25.7,36.22,26.22,11.81
451,PIKE,DELAWARE VALLEY EL SCH,30.59,43.45,20.43,5.48
452,PIKE,DELAWARE VALLEY MS,18.97,38.47,26.79,15.77
453,DELAWARE,DELCROFT SCH,7.69,23.21,33.73,35.34
454,YORK,DELTA-PEACH BOTTOM E,13.78,43.94,26.54,15.76
455,LANCASTER,DENVER EL SCH,32.27,40.61,19.64,7.43
456,WESTMORELAND,DERRY AREA MS,19.99,34.54,30.33,15.15
457,YORK,DEVERS SCH,3.22,15.61,34.09,47.04
458,BUCKS,DEVINE EL SCH,19.36,42.77,26.78,11.14
459,CHESTER,DEVON EL SCH,50.21,36.2,10.18,3.4
460,PHILADELPHIA,DICK WILLIAM SCH,0.45,6.35,29.27,63.93
461,CLINTON,DICKEY EL SCH,6.31,32.19,30.27,31.21
462,ERIE,DIEHL EL SCH,3.97,17.07,30.57,48.37
463,YORK,DILLSBURG EL SCH,18.97,43.88,25.13,12.02
464,ALLEGHENY,DILWORTH TRADITIONAL,23.82,40.89,22.42,12.86
465,PIKE,DINGMAN-DELAWARE EL SCH,24.31,45.35,22.05,8.33
466,PIKE,DINGMAN-DELAWARE MS,23.41,38.99,25.16,12.41
467,PHILADELPHIA,DISCOVERY CHARTER SCHOOL,4.75,26.86,36.51,31.85
468,PHILADELPHIA,DISSTON HAMILTON SCH,1.6,15.1,33.62,49.66
469,PHILADELPHIA,DOBSON JAMES SCH,10.82,29.52,29.8,29.82
470,LUZERNE,DODSON EL SCH,2.92,18.59,38.6,39.9
471,LANCASTER,DOE RUN ELEM SCHOOL,32.94,39.82,17.04,10.15
472,NORTHAMPTON,DOMENICK DEFRANCO EL,15.0,37.5,28.65,18.8
473,TIOGA,DON GILL EL SCH,32.96,38.47,18.28,10.31
474,LYCOMING,DONALD E SCHICK ELEM SCHOOL,23.83,43.17,24.61,8.4
475,UNION,DONALD H EICHHORN MIDDLE SCHOOL,42.4,34.28,14.72,8.61
476,ALLEGHENY,DONALDSON ELEM SCHOOL,34.29,44.59,16.25,4.92
477,WESTMORELAND,DONEGAL EL SCH,12.07,31.24,28.34,28.35
478,LANCASTER,DONEGAL INTERMEDIATE SCHOOL,20.14,39.01,27.22,13.68
479,LANCASTER,DONEGAL JHS,21.73,35.59,28.43,14.23
480,NORTHAMPTON,DONEGAN EL SCH,5.28,30.24,30.99,33.47
481,ALLEGHENY,DORMONT EL SCH,30.91,36.57,23.67,8.89
482,ALLEGHENY,DORSEYVILLE MS,41.34,32.8,17.65,8.15
483,YORK,DOVER AREA EL SCH,30.13,36.9,22.99,9.98
484,YORK,DOVER AREA INTRMD SCH,12.87,35.82,31.15,20.24
485,DAUPHIN,DOWNEY SCH,3.07,12.93,27.01,57.03
486,CHESTER,DOWNINGTOWN MS,31.2,38.78,19.91,10.15
487,BUCKS,DOYLE EL SCH,42.53,38.5,15.26,3.72
488,ALLEGHENY,DR CLEVELAND STEWARD JR EL SCH,22.07,39.65,21.71,16.53
489,LUZERNE,DR DAVID W KISTLER E,12.46,28.36,33.77,25.46
490,DELAWARE,DREXEL HILL MS,9.06,29.81,34.17,27.01
491,LUZERNE,DRUMS ELEM/MIDDLE SCHOOL,21.06,37.89,25.35,15.7
492,CLEARFIELD,DUBOIS AREA MS,20.91,33.74,29.64,15.63
493,PHILADELPHIA,DUCKREY TANNER SCH,0.13,6.93,30.61,62.27
494,FAYETTE,DUNBAR BORO EL SCH,6.31,32.05,34.17,27.42
495,PHILADELPHIA,DUNBAR PAUL L SCH,0.52,10.23,30.66,58.63
496,FAYETTE,DUNBAR TWP EL SCH,13.22,33.68,30.06,22.99
497,LACKAWANNA,DUNMORE EL CTR,19.02,37.04,26.27,17.63
498,LACKAWANNA,DUNMORE JSHS,17.24,36.82,25.97,19.93
499,ALLEGHENY,DUQUESNE CONSOLIDATED SCHOOL,2.48,11.68,29.12,56.72
500,BUCKS,DURHAM-NOCKAMIXON EL,37.77,38.68,19.34,4.16
501,BEAVER,DUTCH RIDGE EL SCH,37.92,38.63,17.75,5.68
502,MONTGOMERY,E M CROUTHAMEL EL SCH,21.59,40.46,21.81,16.15
503,CHESTER,E N PEIRCE MS,34.23,37.21,20.75,7.81
504,SOMERSET,EAGLE VIEW EL SCH,26.27,38.95,24.37,10.45
505,CUMBERLAND,EAGLE VIEW MS,26.97,35.77,24.0,13.26
506,MONTGOMERY,EAGLEVILLE EL SCH,32.74,40.5,20.13,6.71
507,BERKS,EARL EL SCH,34.55,44.42,16.76,4.26
508,ALLEGHENY,EAST ALLEGHENY JSHS,8.49,23.67,33.23,34.61
509,CHESTER,EAST BRADFORD EL SCH,38.55,35.73,15.59,10.17
510,CHESTER,EAST COVENTRY EL SCH,31.67,41.68,19.67,7.02
511,MIFFLIN,EAST DERRY EL SCH,6.7,34.35,36.55,22.4
512,MERCER,EAST EL SCH,26.55,35.89,25.01,12.59
513,CHESTER,EAST FALLOWFIELD EL,20.12,38.25,23.47,18.13
514,FOREST,EAST FOREST EL SCH,26.25,40.0,28.75,5.0
515,FOREST,EAST FOREST JSHS,12.8,30.78,34.58,21.79
516,CHESTER,EAST GOSHEN EL SCH,42.71,36.91,13.2,7.18
517,LEBANON,EAST HANOVER EL SCH,25.18,42.47,22.58,9.74
518,LANCASTER,EAST HIGH STREET EL,17.55,39.05,25.4,17.95
519,NORTHAMPTON,EAST HILLS MS,13.17,31.94,31.62,23.3
520,JUNIATA,EAST JUNIATA JSHS,13.94,35.69,33.95,16.45
521,DELAWARE,EAST LANSDOWNE SCH,4.95,26.3,37.57,31.18
522,MONTGOMERY,EAST NORRITON MS,13.45,31.01,34.9,20.64
523,CARBON,EAST PENN EL SCH,28.59,41.4,22.12,7.89
524,CUMBERLAND,EAST PENNSBORO AREA MS,21.14,36.35,26.93,15.63
