,County,Higher Degree,H.S. Diploma,No H.S. Diploma
419,15322,31.621622%,55.878378%,12.500000%
420,15325,8.783784%,59.459459%,31.756757%
421,15327,12.652705%,63.961606%,23.385689%
422,15329,24.487805%,65.268293%,10.243902%
423,15334,17.346939%,77.551020%,5.102041%
424,15337,16.876574%,75.062972%,8.060453%
425,15338,23.120915%,62.990196%,13.888889%
426,15341,23.025210%,61.680672%,15.294118%
427,15344,26.340546%,62.370649%,11.288805%
428,15345,22.867854%,65.135895%,11.996251%
429,15346,17.954545%,69.318182%,12.727273%
430,15349,17.765043%,72.349570%,9.885387%
431,15351,23.980815%,71.942446%,4.076739%
432,15352,12.583893%,68.288591%,19.127517%
433,15353,55.263158%,44.736842%,0.000000%
434,15357,25.422365%,56.717619%,17.860016%
435,15359,28.571429%,56.390977%,15.037594%
436,15362,19.343066%,71.897810%,8.759124%
437,15364,30.656934%,60.401460%,8.941606%
438,15370,24.469496%,62.428950%,13.101554%
439,15377,16.914498%,66.171004%,16.914498%
440,15380,11.212815%,72.540046%,16.247140%
441,16401,14.985591%,69.241114%,15.773295%
442,16403,30.006277%,57.878217%,12.115505%
443,16407,25.741664%,63.691258%,10.567078%
444,16410,22.852234%,70.962199%,6.185567%
445,16411,24.953618%,64.007421%,11.038961%
446,16412,47.856505%,46.501935%,5.641560%
447,16415,53.377764%,43.623145%,2.999091%
448,16417,33.370247%,59.191584%,7.438169%
449,16421,36.589147%,58.811370%,4.599483%
450,16423,26.226790%,63.129973%,10.643236%
451,16426,32.163743%,63.048246%,4.788012%
452,16427,17.218543%,76.821192%,5.960265%
453,16428,35.084883%,57.142857%,7.772260%
454,16435,19.198791%,65.079365%,15.721844%
455,16438,24.511386%,64.030841%,11.457773%
456,16441,30.964686%,62.159058%,6.876256%
457,16442,29.440628%,57.899902%,12.659470%
458,16443,25.843882%,61.286920%,12.869198%
459,16444,56.250000%,43.750000%,0.000000%
460,16501,18.757688%,47.601476%,33.640836%
461,16502,27.801062%,59.932942%,12.265996%
462,16503,13.493491%,59.191449%,27.315060%
463,16504,32.062341%,59.900020%,8.037640%
464,16505,46.479802%,45.704864%,7.815334%
465,16506,49.294355%,46.418406%,4.287239%
466,16507,23.600065%,60.996591%,15.403344%
467,16508,36.823612%,56.148981%,7.027407%
468,16509,43.842846%,51.759187%,4.397967%
469,16510,34.143941%,57.292571%,8.563488%
470,16511,36.235885%,57.314931%,6.449184%
471,16546,100.000000%,0.000000%,0.000000%
472,16563,82.608696%,17.391304%,0.000000%
473,15946,28.461538%,62.806653%,8.731809%
474,16601,25.842545%,64.770378%,9.387076%
475,16602,27.312441%,62.003799%,10.683761%
476,16613,24.854369%,68.640777%,6.504854%
477,16617,22.070415%,70.415134%,7.514451%
478,16625,15.761887%,68.925496%,15.312617%
479,16631,19.047619%,52.380952%,28.571429%
480,16635,29.877155%,61.861828%,8.261017%
481,16636,28.966790%,66.051661%,4.981550%
482,16637,12.880143%,76.744186%,10.375671%
483,16641,24.620573%,69.421023%,5.958404%
484,16648,40.891899%,52.616765%,6.491336%
485,16655,15.273038%,72.269625%,12.457338%
486,16662,23.702830%,64.669811%,11.627358%
487,16665,32.158590%,55.947137%,11.894273%
488,16673,25.317139%,66.099865%,8.582996%
489,16682,0.000000%,100.000000%,0.000000%
490,16686,28.010695%,64.053476%,7.935829%
491,16693,22.029950%,65.923461%,12.046589%
492,17021,9.077599%,73.206442%,17.715959%
493,17035,9.465649%,67.633588%,22.900763%
494,17045,24.376731%,58.448753%,17.174515%
495,17049,17.515769%,59.146046%,23.338185%
496,17056,23.404255%,51.063830%,25.531915%
497,17058,22.113821%,56.585366%,21.300813%
498,17059,24.364548%,61.371237%,14.264214%
499,17062,27.103473%,61.689939%,11.206588%
500,17076,0.000000%,100.000000%,0.000000%
501,17082,19.495798%,66.554622%,13.949580%
502,17086,15.921963%,67.400881%,16.677155%
503,17094,20.897916%,58.150722%,20.951363%
504,17243,14.380952%,72.380952%,13.238095%
505,17853,12.358491%,55.471698%,32.169811%
506,17006,15.711948%,67.103110%,17.184943%
507,17020,24.063615%,67.003567%,8.932818%
508,17021,9.077599%,73.206442%,17.715959%
509,17024,27.058824%,55.764706%,17.176471%
510,17035,9.465649%,67.633588%,22.900763%
511,17037,26.324238%,54.253612%,19.422151%
512,17040,24.861878%,61.264579%,13.873542%
513,17045,24.376731%,58.448753%,17.174515%
514,17047,17.118227%,65.701970%,17.179803%
515,17053,28.976506%,62.570888%,8.452606%
516,17062,27.103473%,61.689939%,11.206588%
517,17068,25.974441%,61.341853%,12.683706%
518,17069,11.764706%,45.588235%,42.647059%
519,17071,16.981132%,43.396226%,39.622642%
520,17074,24.879615%,65.670144%,9.450241%
521,17090,22.785788%,62.667353%,14.546859%
522,17011,46.275276%,44.715478%,9.009246%
523,17019,37.788513%,54.205966%,8.005521%
524,17055,47.560747%,46.775829%,5.663424%
525,17070,41.691215%,50.693121%,7.615665%
526,17301,20.332226%,61.960133%,17.707641%
527,17302,23.983531%,63.458569%,12.557900%
528,17309,22.296844%,62.122230%,15.580927%
529,17311,27.127660%,53.723404%,19.148936%
530,17313,27.770733%,60.512300%,11.716967%
531,17314,18.096415%,62.941904%,18.961681%
532,17315,29.094537%,59.181362%,11.724101%
533,17316,28.273909%,62.645785%,9.080307%
534,17317,33.013436%,52.783109%,14.203455%
535,17318,22.222222%,62.500000%,15.277778%
536,17319,39.304671%,55.838641%,4.856688%
537,17321,25.074985%,61.547690%,13.377325%
538,17322,17.557593%,72.243346%,10.199061%
539,17327,25.136811%,62.258300%,12.604889%
540,17329,23.840698%,69.776323%,6.382979%
541,17331,28.095133%,59.819899%,12.084968%
542,17339,39.460000%,53.360000%,7.180000%
543,17345,20.615866%,66.440501%,12.943633%
544,17347,35.241035%,54.452624%,10.306341%
545,17349,44.794039%,49.037466%,6.168495%
546,17352,21.033654%,60.336538%,18.629808%
547,17355,22.222222%,65.432099%,12.345679%
548,17356,25.885915%,62.031239%,12.082846%
549,17360,39.995622%,49.956217%,10.048161%
550,17361,39.110912%,52.626852%,8.262236%
551,17362,28.498701%,62.202597%,9.298701%
552,17363,36.353896%,54.461962%,9.184142%
553,17364,22.892983%,58.957272%,18.149745%
554,17365,15.548282%,68.521549%,15.930169%
555,17366,20.790021%,62.707900%,16.502079%
556,17368,22.906359%,62.012095%,15.081547%
557,17370,24.151397%,66.326224%,9.522379%
558,17371,27.935223%,55.465587%,16.599190%
559,17372,25.050234%,57.367716%,17.582050%
560,17401,19.380929%,57.174239%,23.444833%
561,17402,38.492301%,51.352968%,10.154732%
562,17403,36.009431%,50.787244%,13.203325%
563,17404,34.569847%,54.020443%,11.409710%
564,17406,32.360611%,55.854961%,11.784428%
565,17407,38.792030%,56.164384%,5.043587%
566,17408,33.022031%,58.093870%,8.884100%
567,17021,9.077599%,73.206442%,17.715959%
568,17201,28.166743%,55.348918%,16.484339%
569,17202,30.839066%,59.347653%,9.813281%
570,17210,27.678571%,67.857143%,4.464286%
571,17214,21.337127%,74.537696%,4.125178%
572,17217,15.853659%,69.512195%,14.634146%
