,County,Higher Degree,H.S. Diploma,No H.S. Diploma
496,16351,19.408181%,72.410792%,8.181027%
497,16352,15.979381%,73.195876%,10.824742%
498,16354,23.394557%,64.633329%,11.972114%
499,16365,33.087578%,59.241883%,7.670539%
500,16371,22.486211%,67.119219%,10.394569%
501,16402,25.800377%,60.640301%,13.559322%
502,16405,27.389706%,63.786765%,8.823529%
503,16407,25.741664%,63.691258%,10.567078%
504,16416,0.000000%,83.478261%,16.521739%
505,16420,16.363636%,63.434343%,20.202020%
506,16434,16.900549%,58.084198%,25.015253%
507,16436,25.641026%,70.000000%,4.358974%
508,16701,25.616587%,62.870997%,11.512415%
509,17814,24.644412%,65.428157%,9.927431%
510,17815,33.901739%,56.964376%,9.133885%
511,17878,27.349624%,62.030075%,10.620301%
512,18201,18.482783%,57.788306%,23.728911%
513,18202,22.071792%,59.930443%,17.997764%
514,18216,14.324693%,79.809004%,5.866303%
515,18219,53.433836%,44.137353%,2.428811%
516,18221,23.035230%,74.525745%,2.439024%
517,18222,43.020114%,51.801261%,5.178625%
518,18223,16.455696%,53.797468%,29.746835%
519,18224,23.442582%,66.549912%,10.007506%
520,18225,0.000000%,91.304348%,8.695652%
521,18234,42.052980%,54.966887%,2.980132%
522,18239,12.903226%,70.967742%,16.129032%
523,18241,12.385321%,72.247706%,15.366972%
524,18244,14.705882%,67.647059%,17.647059%
525,18246,2.439024%,73.170732%,24.390244%
526,18249,51.086957%,44.311594%,4.601449%
527,18251,0.000000%,100.000000%,0.000000%
528,18255,23.090178%,68.609994%,8.299828%
529,18256,31.746032%,66.666667%,1.587302%
530,18424,33.671347%,58.658346%,7.670307%
531,18602,66.831683%,32.178218%,0.990099%
532,18603,24.869986%,60.867707%,14.262307%
533,18610,20.372881%,73.254237%,6.372881%
534,18612,41.648690%,51.278891%,7.072419%
535,18615,26.514032%,66.174298%,7.311669%
536,18617,13.054608%,77.730375%,9.215017%
537,18618,42.362598%,48.037116%,9.600286%
538,18621,20.439292%,66.605654%,12.955054%
539,18622,26.219512%,51.829268%,21.951220%
540,18634,26.617752%,61.398145%,11.984103%
541,18635,25.247694%,62.760506%,11.991800%
542,18636,19.563153%,70.465337%,9.971510%
543,18640,26.861042%,61.879653%,11.259305%
544,18641,32.105701%,60.008323%,7.885976%
545,18642,38.195303%,54.635352%,7.169345%
546,18643,35.840708%,55.508850%,8.650442%
547,18644,38.622590%,54.325069%,7.052342%
548,18651,22.777406%,64.522059%,12.700535%
