,County,Doctorate,Professional,Masters,Bachelor,Associate,Some College,High School,Some HS,Less than HS,None
371,19107,4.422002%,13.775860%,19.070497%,30.924600%,2.755172%,6.834003%,11.697225%,4.294539%,3.951368%,2.274733%
372,19109,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
373,19111,0.536661%,0.964244%,5.233535%,14.409128%,7.094396%,16.957176%,37.265211%,9.790790%,5.436419%,2.312441%
374,19112,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
375,19114,0.886120%,1.228286%,6.036147%,15.318477%,6.773118%,19.319179%,41.415161%,6.084401%,1.359888%,1.579224%
376,19115,0.826015%,1.740246%,7.606560%,21.436305%,7.510325%,17.262120%,31.889811%,6.247243%,3.304062%,2.177313%
377,19116,0.755892%,1.390517%,7.069809%,16.694288%,7.441691%,16.480052%,39.698452%,6.649420%,2.457658%,1.362222%
378,19118,6.115302%,9.280711%,22.171336%,30.105065%,3.838901%,11.813039%,11.570582%,4.256466%,0.673491%,0.175108%
379,19119,3.173181%,6.204913%,18.190391%,19.090952%,6.025744%,18.963648%,20.496016%,5.789995%,1.537083%,0.528078%
380,19120,0.119212%,0.497885%,2.676422%,8.707136%,7.800192%,16.663940%,34.746733%,15.810757%,7.837591%,5.140132%
381,19121,0.406433%,0.539976%,3.559194%,7.733844%,4.790106%,21.059049%,37.542821%,19.485572%,3.530163%,1.352842%
382,19122,0.500395%,1.027127%,4.248968%,16.767624%,3.204284%,16.276007%,34.430691%,14.669476%,5.969625%,2.905803%
383,19123,3.357716%,6.301225%,11.536089%,29.285274%,4.371199%,11.492024%,21.459417%,7.226580%,3.384154%,1.586322%
384,19124,0.252960%,0.518567%,2.337347%,6.703430%,4.730345%,16.346251%,41.695335%,16.171709%,7.818982%,3.425073%
385,19125,1.559307%,1.704484%,7.420153%,24.567158%,4.968276%,12.845467%,28.594473%,11.974406%,4.817722%,1.548554%
386,19126,0.395524%,0.713872%,7.939417%,13.505692%,7.158017%,19.930542%,30.503569%,13.997685%,4.939224%,0.916458%
387,19127,4.332830%,3.104117%,11.123087%,36.732054%,3.125674%,12.244018%,23.323992%,3.729252%,1.444277%,0.840698%
388,19128,2.428177%,3.823392%,12.797245%,27.323267%,4.881460%,15.397583%,27.172627%,4.716474%,0.950468%,0.509307%
389,19129,1.677808%,6.711233%,13.514222%,22.348932%,6.121379%,17.145104%,24.092279%,7.091362%,0.969983%,0.327697%
390,19130,4.455752%,7.546721%,19.249608%,35.270341%,2.720053%,10.000476%,13.942651%,4.422464%,1.336250%,1.055685%
391,19131,1.173684%,1.337373%,6.551040%,12.813012%,6.871452%,25.869815%,32.177063%,10.131299%,2.256817%,0.818445%
392,19132,0.238128%,0.297660%,1.827174%,5.069378%,4.442002%,20.744608%,46.631863%,17.163530%,2.463708%,1.121949%
393,19133,0.198172%,0.172601%,0.242920%,3.260244%,3.797226%,15.016301%,34.526625%,24.880138%,13.526817%,4.378955%
394,19134,0.040506%,0.391553%,2.230503%,7.255887%,4.226075%,13.747570%,40.157161%,21.124973%,8.803197%,2.022575%
395,19135,0.242961%,0.033348%,2.591587%,10.614073%,6.336049%,16.892954%,46.172169%,12.853128%,2.744033%,1.519699%
396,19136,0.415460%,0.579126%,3.907004%,10.739015%,5.115615%,18.171136%,46.342692%,10.634101%,1.875866%,2.219984%
