,County,Doctorate F,Professional F,Masters F,Bachelor F,Associate F,Some College F,High School F,Some HS F,Less than HS F,None F
216,17560,2.676%,8.424%,2.131%,16.452%,56.640%,8.424%,4.262%,0.991%,8.783344%,-56.480084%
217,17562,0.000%,2.707%,6.235%,3.856%,16.981%,26.497%,17.145%,25.759%,0.820%,7.029478%
218,17563,0.000%,0.000%,2.606%,7.124%,3.301%,17.029%,49.262%,13.814%,6.864%,0.000%
219,17565,0.000%,6.194%,10.589%,9.790%,12.388%,48.851%,8.591%,2.597%,0.999%,8.087536%
220,17566,0.465%,0.181%,4.678%,9.227%,5.945%,14.836%,45.309%,8.374%,10.235%,0.750%
221,17569,0.163%,1.574%,8.198%,12.269%,13.246%,11.618%,41.911%,9.012%,1.249%,0.760%
222,17570,44.681%,41.489%,13.830%,24.489796%,0.000%,24.490%,100.000%,0.000%,100.000000%,0.000000%
223,17572,0.000%,1.694%,10.806%,4.677%,7.581%,41.290%,9.435%,24.516%,9.667360%,1.238260%
224,17576,0.000%,18.421%,0.000%,60.526%,21.053%,0.000000%,0.000%,0.000%,0.000%,0.000000%
225,17578,0.335%,0.000%,5.019%,12.045%,4.647%,11.561%,47.695%,9.851%,7.546%,1.301%
226,17579,0.259%,0.311%,6.687%,20.684%,7.569%,10.835%,40.228%,6.584%,6.843%,0.000%
227,17581,4.380%,12.774%,0.000%,9.489%,45.985%,8.029%,18.248%,1.095%,6.185567%,-100.000000%
228,17582,0.000%,8.069%,13.401%,5.187%,14.986%,48.415%,6.772%,3.170%,15.188172%,41.561973%
229,17584,0.000%,2.599%,5.311%,16.638%,8.927%,17.147%,42.090%,4.915%,2.090%,0.282%
230,17601,1.014%,2.539%,12.614%,23.157%,8.525%,13.480%,31.182%,4.881%,1.556%,1.052%
231,17602,0.685%,0.978%,5.884%,15.928%,6.884%,16.729%,33.254%,13.066%,4.398%,2.193%
232,17603,1.058%,1.743%,7.473%,17.089%,8.590%,15.954%,32.716%,9.961%,2.878%,2.538%
233,17606,7.164%,17.612%,0.000%,5.970%,59.104%,7.761%,2.388%,118.254368%,112.923729%,0.000000%
234,19310,1.343%,0.207%,8.781%,11.364%,8.678%,10.640%,39.773%,11.983%,6.818%,0.413%
235,19344,0.452%,1.079%,8.505%,16.859%,5.795%,18.289%,36.277%,7.577%,4.566%,0.602%
236,19362,0.203%,0.863%,4.317%,13.916%,7.770%,19.198%,41.493%,8.278%,3.250%,0.711%
237,19363,1.323%,0.818%,7.382%,18.854%,4.857%,17.061%,35.498%,6.302%,6.302%,1.602%
238,19501,3.504%,9.434%,13.208%,16.173%,51.482%,2.156%,4.043%,12.602740%,-100.000000%,-25.274937%
