RecordNumber,Zipcode,City,State,Lat,Long
43402,98837,RAUGUST,WA,47.19,-119.3
43403,98837,WHEELER,WA,47.19,-119.3
43404,98564,MOSSYROCK,WA,46.48,-122.44
43405,98564,AJLUNE,WA,46.48,-122.44
43406,98043,MOUNTLAKE TERRACE,WA,47.79,-122.3
43407,98043,MOUNTLAKE TER,WA,47.79,-122.3
43408,98273,MOUNT VERNON,WA,48.42,-122.42
43409,98274,MOUNT VERNON,WA,48.36,-121.98
43410,98936,MOXEE,WA,46.52,-120.2
43411,98936,MOXEE CITY,WA,46.52,-120.2
43412,98275,MUKILTEO,WA,47.91,-122.3
43413,98937,NACHES,WA,46.78,-120.88
43414,98937,GOOSE PRAIRIE,WA,46.78,-120.88
43415,98937,CLIFFDELL,WA,46.78,-120.88
43416,98937,NILE,WA,46.78,-120.88
43417,98937,RIMROCK,WA,46.78,-120.88
43418,98937,WHITE PASS,WA,46.78,-120.88
43419,98565,NAPAVINE,WA,46.57,-122.9
43420,98357,NEAH BAY,WA,48.33,-124.63
43421,98357,CAPE FLATTERY,WA,48.33,-124.63
43422,98357,MAKAH AFB,WA,48.33,-124.63
43423,98357,TATOOSH IS,WA,48.33,-124.63
43424,98357,TATOOSH ISLAND,WA,48.33,-124.63
43425,98566,NEILTON,WA,47.41,-123.87
43426,99155,NESPELEM,WA,48.21,-119.04
43427,99025,NEWMAN LAKE,WA,47.77,-117.09
43428,99025,EAST FARMS,WA,47.77,-117.09
43429,99156,NEWPORT,WA,48.15,-117.24
43430,99026,NINE MILE FALLS,WA,47.8,-117.62
43431,99026,NINE MILE FLS,WA,47.8,-117.62
43432,99034,TUMTUM,WA,47.89,-117.76
43433,99034,TUM TUM,WA,47.89,-117.76
43434,98358,NORDLAND,WA,48.05,-122.68
43435,98358,FORT FLAGLER,WA,48.05,-122.68
43436,98358,FT FLAGLER,WA,48.05,-122.68
43437,98358,INDIAN IS,WA,48.05,-122.68
43438,98358,INDIAN ISLAND,WA,48.05,-122.68
43439,98358,MARROWSTONE IS,WA,48.05,-122.68
43440,98358,MARROWSTONE ISLAND,WA,48.05,-122.68
43441,98045,NORTH BEND,WA,47.44,-121.62
43442,98045,CEDAR FALLS,WA,47.44,-121.62
43443,98045,DENNY CREEK,WA,47.44,-121.62
43444,99157,NORTHPORT,WA,48.93,-117.77
43445,99158,OAKESDALE,WA,47.12,-117.25
43446,98277,OAK HARBOR,WA,48.32,-122.63
43447,98277,AULT FIELD,WA,48.32,-122.63
43448,98278,OAK HARBOR,WA,48.28,-122.62
43449,98278,NAS WHIDBEY,WA,48.28,-122.62
43450,98278,WHIDBEY ISLAND NAVAL AIR,WA,48.28,-122.62
43451,98278,NAVAL AIR STATION,WA,48.28,-122.62
43452,98278,WHIDBEY NAS,WA,48.28,-122.62
43453,98568,OAKVILLE,WA,46.83,-123.28
43454,98568,CEDARVILLE,WA,46.83,-123.28
43455,98568,GIBSON CREEK,WA,46.83,-123.28
43456,98569,OCEAN SHORES,WA,46.97,-124.14
43457,98569,OCEAN CITY,WA,46.97,-124.14
43458,99144,LAMONA,WA,47.35,-118.48
43459,99144,ODESSA,WA,47.35,-118.48
43460,99159,ODESSA,WA,47.34,-118.66
43461,98840,OKANOGAN,WA,48.22,-119.45
43462,98359,OLALLA,WA,47.43,-122.57
43463,98359,FRAGARIA,WA,47.43,-122.57
43464,98359,OLALLA VALLEY,WA,47.43,-122.57
43465,98279,OLGA,WA,48.63,-122.8
43466,98279,DOEBAY,WA,48.63,-122.8
43467,98501,OLYMPIA,WA,46.97,-122.87
43468,98501,TUMWATER,WA,46.97,-122.87
43469,98501,BOSTON HARBOR,WA,46.97,-122.87
43470,98501,MAYTOWN,WA,46.97,-122.87
43471,98501,NISQUALLY,WA,46.97,-122.87
43472,98501,OFFUTT LAKE,WA,46.97,-122.87
43473,98501,OLY,WA,46.97,-122.87
43474,98501,SCHNEIDERS PRAIRIE,WA,46.97,-122.87
43475,98501,SOUTH BAY,WA,46.97,-122.87
43476,98501,SOUTH SOUND,WA,46.97,-122.87
43477,98501,THOMPSON PLACE,WA,46.97,-122.87
43478,98501,UNION MILLS,WA,46.97,-122.87
43479,98502,OLYMPIA,WA,47.1,-123.06
43480,98503,LACEY,WA,47.02,-122.79
43481,98503,OLYMPIA,WA,47.02,-122.79
43482,98504,OLYMPIA,WA,47.02,-122.87
43483,98504,WASHINGTON STATE DEPARTMENT,WA,47.02,-122.87
43484,98505,OLYMPIA,WA,47.07,-122.98
43485,98505,EVERGREEN STATE COLLEGE,WA,47.07,-122.98
43486,98506,OLYMPIA,WA,47.1,-122.86
43487,98506,LACEY,WA,47.1,-122.86
43488,98507,OLYMPIA,WA,47.03,-122.87
43489,98508,OLYMPIA,WA,47.03,-122.94
43490,98509,LACEY,WA,47.03,-122.8
43491,98509,OLYMPIA,WA,47.03,-122.8
43492,98511,TUMWATER,WA,46.95,-123.03
43493,98511,OLYMPIA,WA,46.95,-123.03
43494,98512,OLYMPIA,WA,46.94,-123.04
43495,98512,TUMWATER,WA,46.94,-123.04
43496,98513,OLYMPIA,WA,46.98,-122.74
43497,98513,LACEY,WA,46.98,-122.74
43498,98516,OLYMPIA,WA,47.11,-122.76
43499,98516,LACEY,WA,47.11,-122.76
43500,98599,OLYMPIA,WA,46.99,-122.87
43501,98599,FIRM BRM,WA,46.99,-122.87
43502,98841,OMAK,WA,48.36,-119.27
43503,98841,DISAUTEL,WA,48.36,-119.27
43504,98570,ONALASKA,WA,46.6,-122.67
43505,98570,ALPHA,WA,46.6,-122.67
43506,98570,LACAMAS,WA,46.6,-122.67
43507,98280,ORCAS,WA,48.61,-122.88
43508,98843,ORONDO,WA,47.72,-120.15
43509,98844,OROVILLE,WA,48.87,-119.22
43510,98844,CHESAW,WA,48.87,-119.22
43511,98844,MOLSON,WA,48.87,-119.22
43512,98360,ORTING,WA,47.03,-122.1
43513,98360,CROCKER,WA,47.03,-122.1
43514,98360,ELECTRON,WA,47.03,-122.1
43515,98360,OHOP,WA,47.03,-122.1
43516,99344,OTHELLO,WA,46.8,-119.15
43517,99344,HATTON,WA,46.8,-119.15
43518,99344,ROYAL SLOPE,WA,46.8,-119.15
43519,99349,MATTAWA,WA,46.72,-119.73
43520,99349,DESERT AIRE,WA,46.72,-119.73
43521,99027,OTIS ORCHARDS,WA,47.72,-117.17
43522,99027,CITY OF SPOKANE VALLEY,WA,47.72,-117.17
43523,99027,SPOKANE VALLEY,WA,47.72,-117.17
43524,99027,SPOKANE VLY,WA,47.72,-117.17
43525,98938,OUTLOOK,WA,46.37,-120.09
43526,98571,PACIFIC BEACH,WA,47.21,-124.19
43527,98571,ALOHA,WA,47.21,-124.19
43528,98361,PACKWOOD,WA,46.56,-121.55
43529,98845,PALISADES,WA,47.38,-119.96
